pit_tag,date,visist.per.id,nest.id,sex,band.number,habitat,Number.of.SOSP.nestlings,SOSP.Age,Number.of.BHCO.Nestlings,year,Cuckolding.identified.by.any.method.95.,cuck.95,Cuckolding.identified.by.any.method.80.,X..of.epp.offspring.in.nest,X..of.offspring.sampled.that.are.epp
620000193,0018-05-18T04:56:02Z,2.372811535,04crl18,female,271176167,urban,2,9,1,2018,0,no,0,0,0
062000022A,0018-05-18T04:56:02Z,2.412753124,04crl18,male,277149412,urban,2,9,1,2018,0,no,0,0,0
620000193,0018-05-14T04:56:02Z,4.420012836,04crl18,female,271176167,urban,2,5,1,2018,0,no,0,0,0
062000022A,0018-05-13T04:56:02Z,5.464098074,04crl18,male,277149412,urban,2,4,1,2018,0,no,0,0,0
620000193,0018-05-13T04:56:02Z,5.613791909,04crl18,female,271176167,urban,2,4,1,2018,0,no,0,0,0
062000022A,0018-05-14T04:56:02Z,6.434316354,04crl18,male,277149412,urban,2,5,1,2018,0,no,0,0,0
062000022A,0018-05-15T04:56:02Z,7.889299355,04crl18,male,277149412,urban,2,6,1,2018,0,no,0,0,0
062000022A,0018-05-17T04:56:02Z,8.31482633,04crl18,male,277149412,urban,2,8,1,2018,0,no,0,0,0
620000193,0018-05-17T04:56:02Z,9.390260644,04crl18,female,271176167,urban,2,8,1,2018,0,no,0,0,0
620000193,0018-05-15T04:56:02Z,10.62155783,04crl18,female,271176167,urban,2,6,1,2018,0,no,0,0,0
062000014E,0018-05-21T04:56:02Z,8.755695955,05sjl18,male,277149426,urban,3,9,0,2018,0,no,0,0,0
062000014E,0018-05-20T04:56:02Z,9.651264167,05sjl18,male,277149426,urban,3,8,0,2018,0,no,0,0,0
062000014E,0018-05-19T04:56:02Z,9.932874851,05sjl18,male,277149426,urban,3,7,0,2018,0,no,0,0,0
062000014E,0018-05-17T04:56:02Z,10.27759218,05sjl18,male,277149426,urban,3,5,0,2018,0,no,0,0,0
062000014E,0018-05-18T04:56:02Z,13.2331556,05sjl18,male,277149426,urban,3,6,0,2018,0,no,0,0,0
0620000A6B,0018-06-12T04:56:02Z,2.141933895,06crl18,male,271176096,urban,3,9,1,2018,0,no,0,0,0
0620000A6B,0018-06-07T04:56:02Z,2.40932498,06crl18,male,271176096,urban,3,4,1,2018,0,no,0,0,0
0620000A6B,0018-06-11T04:56:02Z,2.743687954,06crl18,male,271176096,urban,3,8,1,2018,0,no,0,0,0
0620000A6B,0018-06-08T04:56:02Z,2.930315664,06crl18,male,271176096,urban,3,5,1,2018,0,no,0,0,0
0620000A6B,0018-06-06T04:56:02Z,3.434743474,06crl18,male,271176096,urban,3,3,1,2018,0,no,0,0,0
0620000A6B,0018-06-10T04:56:02Z,3.585722306,06crl18,male,271176096,urban,3,7,1,2018,0,no,0,0,0
0620000A6B,0018-06-04T04:56:02Z,3.641092328,06crl18,male,271176096,urban,4,1,1,2018,0,no,0,0,0
